ProductID,ProductName,Category,Price,StockQuantity
192169,job,Home,237.99,255
510037,weight,Home,746.02,442
529212,race,Automotive,472.43,442
357904,choose,Toys,934.14,358
313093,alone,Clothing,227.26,176
980909,create,Electronics,837.28,41
331748,start,Clothing,724.88,24
357720,expect,Books,22.56,342
918325,drop,Clothing,848.96,193
259088,none,Toys,545.5,385
531937,or,Home,91.56,210
100434,new,Home,849.65,83
473367,card,Electronics,726.85,149
161251,difference,Books,682.72,204
353671,usually,Home,19.44,352
605148,meeting,Automotive,771.95,143
617622,arrive,Books,193.89,21
202260,help,Electronics,286.2,29
423545,heavy,Books,414.29,352
267854,before,Clothing,602.97,298
293898,reflect,Automotive,806.64,463
819342,force,Electronics,611.98,218
445447,least,Toys,706.57,43
627944,development,Automotive,583.01,243
326518,effort,Automotive,878.98,364
502359,hair,Home,423.05,202
753592,foreign,Clothing,411.1,23
513496,particularly,Home,525.35,14
184476,candidate,Home,846.81,173
137589,small,Electronics,431.57,450
627834,adult,Clothing,720.26,315
166037,condition,Toys,563.88,491
177702,same,Home,392.47,380
930459,Democrat,Toys,375.2,278
265573,themselves,Clothing,778.99,409
909310,difference,Books,468.44,63
303777,American,Books,250.09,241
523704,back,Home,454.73,42
574712,view,Clothing,557.65,235
169632,common,Toys,565.01,303
475203,way,Clothing,165.23,244
179094,stop,Automotive,219.19,432
990603,rate,Clothing,976.83,273
906886,believe,Books,432.79,6
106329,carry,Clothing,236.55,170
299836,military,Toys,312.44,0
742041,five,Toys,233.53,234
324025,myself,Clothing,516.84,140
547169,standard,Books,36.25,134
293577,cover,Toys,638.35,386
917898,morning,Toys,952.1,321
603498,in,Books,381.88,162
709245,money,Automotive,497.01,118
961490,on,Clothing,64.58,456
355961,program,Home,905.59,373
784839,fear,Books,248.27,152
503748,kitchen,Home,832.23,347
199826,behind,Clothing,717.93,79
496023,season,Automotive,858.27,39
210876,hand,Automotive,229.87,304
140072,all,Automotive,802.9,249
329526,surface,Electronics,161.6,431
732022,site,Home,254.13,235
643659,eye,Automotive,66.9,395
940368,debate,Books,213.57,81
673406,than,Home,718.14,92
683013,set,Home,465.82,103
306105,begin,Books,808.32,294
101411,spend,Electronics,809.37,96
193093,attention,Books,687.19,39
919889,southern,Books,629.4,402
301982,word,Home,32.11,233
450942,property,Books,881.58,139
607537,just,Home,314.14,213
817182,author,Books,202.17,179
136442,arm,Automotive,433.13,317
349382,fill,Toys,210.54,184
713574,put,Books,754.81,94
978234,past,Books,21.22,307
370981,exactly,Home,422.22,59
966865,air,Automotive,336.73,151
787652,music,Home,577.39,189
772576,exist,Electronics,737.31,469
294428,garden,Toys,60.58,164
405378,would,Electronics,264.07,84
472838,effort,Automotive,249.8,299
169079,suffer,Home,431.76,269
672958,occur,Toys,252.48,378
164796,talk,Home,874.04,314
213562,town,Automotive,696.48,289
855553,throughout,Books,414.82,451
613530,include,Home,855.59,301
869237,manager,Home,54.81,15
762857,history,Toys,222.48,22
708138,no,Automotive,866.26,148
804519,phone,Toys,729.18,179
447744,most,Automotive,536.78,451
614666,think,Home,230.37,490
116119,could,Toys,907.01,438
199860,water,Clothing,47.48,234
325168,play,Books,420.64,189
791939,admit,Clothing,795.24,351
655694,garden,Home,791.65,427
377090,exist,Home,695.27,13
208058,even,Toys,725.52,212
268795,three,Clothing,422.04,265
817830,senior,Clothing,839.45,70
962727,growth,Automotive,249.88,211
741027,friend,Electronics,165.23,344
673090,father,Home,27.25,280
896100,music,Toys,620.91,144
177584,despite,Books,87.66,323
133480,write,Automotive,840.37,327
540986,certain,Electronics,500.59,87
196507,serious,Home,861.48,483
542542,government,Electronics,561.55,80
456518,even,Toys,80.64,235
283875,rather,Home,127.44,261
448361,far,Home,704.8,135
912930,table,Books,115.26,154
593013,follow,Toys,912.2,83
511013,happy,Home,170.85,190
797410,per,Automotive,768.28,264
708249,pass,Clothing,402.51,20
126127,even,Electronics,892.44,435
214920,better,Electronics,834.31,287
887764,performance,Clothing,898.58,454
982144,modern,Home,619.13,35
541263,American,Books,928.77,353
753533,because,Toys,843.72,319
105900,research,Home,671.18,382
306941,available,Books,314.45,363
210949,such,Toys,826.93,33
334774,executive,Clothing,369.1,243
462099,staff,Electronics,291.82,208
919919,any,Home,977.5,388
371174,best,Automotive,723.85,282
110678,prepare,Electronics,194.75,385
619103,language,Books,371.72,306
948446,challenge,Home,316.36,73
784722,fine,Automotive,821.7,19
111107,see,Toys,546.16,175
301226,make,Toys,922.32,21
893577,job,Clothing,439.46,15
890637,officer,Books,797.88,466
105498,large,Clothing,335.63,128
496797,because,Automotive,481.45,98
248060,material,Home,147.1,185
727478,just,Toys,19.33,87
789819,good,Automotive,741.99,277
964779,image,Electronics,141.88,209
231744,pretty,Electronics,31.35,418
555183,a,Electronics,773.95,167
813124,will,Automotive,541.84,436
981640,picture,Toys,795.33,423
159857,challenge,Home,943.08,257
107987,policy,Clothing,927.05,223
440440,parent,Clothing,365.94,282
727344,between,Electronics,337.94,198
254733,available,Automotive,80.85,75
390770,option,Books,680.59,313
684464,bag,Toys,950.55,82
526990,what,Home,797.4,384
619397,those,Home,359.2,378
748464,situation,Electronics,455.03,293
518021,could,Toys,564.11,363
932635,seek,Automotive,814.09,219
366617,during,Clothing,618.81,346
456013,including,Clothing,579.73,391
913650,husband,Toys,811.81,288
334105,seven,Books,460.61,318
766884,general,Electronics,158.06,119
143378,well,Home,48.95,217
812587,trial,Books,68.67,267
591106,nation,Toys,796.93,412
813593,hair,Electronics,120.9,480
802383,property,Automotive,502.35,39
239722,join,Home,744.9,100
113248,general,Electronics,543.32,400
980039,ask,Toys,141.24,447
332879,worker,Home,59.38,476
135757,pick,Home,491.38,145
929990,military,Electronics,816.39,246
430883,cut,Electronics,260.45,417
818731,on,Automotive,146.13,156
663313,energy,Automotive,951.41,101
